device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,country,countryCode,region,regionName,city,zip,lat,lon,timezone,mobile,proxy,hosting
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,5.16.121.140,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,-,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,5.18.232.156,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,5.16.124.173,Russia,RU,SPE,St.-Petersburg,St Petersburg,190121,59.8983,30.2618,Europe/Moscow,false,false,false
1f5f2b4e-36b5-447a-99c0-584ada60b8f1,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
20dad5a5-f4b0-4575-8ba3-00d9e618f446,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.170,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
228f92ff-a10e-44a1-98ae-c68577b98f90,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.152.216,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
25a04273-cd38-44c5-9cc1-c84acda2ae64,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.89,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
26742b02-5307-4868-8946-0687baad3879,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,31.173.84.195,Russia,RU,MOW,Moscow,Moscow,127434,55.7483,37.6171,Europe/Moscow,true,false,false
2718fcf7-b527-4f48-926c-84cd059d53e4,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.152.216,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
27ec469f-a090-4fe9-8459-e52714a6f2a4,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
2894de01-dbad-43fb-934c-9c7468b9989a,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.170,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
2e9cf427-b2e1-4e0d-b977-412a1900a175,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fa2a905ebe10d624a5be40bfe81766e0282dd374,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,85.114.27.150,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,true,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,-,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,5.18.248.133,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,ce639ec37978863a9050c2669b57da3ef1aa970b,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 78.0.3904,217.165.23.230,United Arab Emirates,AE,DU,Dubai,Dubai,,25.0731,55.298,Asia/Dubai,false,false,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,fa2a905ebe10d624a5be40bfe81766e0282dd374,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 77.0.3865,85.114.27.150,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,true,false
2f756abe-6fff-46ae-8f1a-5f9da02f4274,ce639ec37978863a9050c2669b57da3ef1aa970b,Bank10,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Chrome 76.0.3809,85.114.27.150,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,true,false
